"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P2",5,TRUE,FALSE,FALSE,FALSE,2,0.736363304519855,0.604544956779782,0.0305903574177302,-94.5244319535552,0.999967836810022,3,NA,"troot((x4*x6)*x4)","troot(x4*x4)","x2*x4",0.758395071085079,0.241604864306285,0.236565970725178
"P3",5,FALSE,FALSE,FALSE,FALSE,5,0.833111138500608,0.833111138500608,0.0310833168421423,-96.7669448270558,0.999962653559187,5,NA,"troot(x4*x4)","x4*x2","x4",0.8858945164762,0.87952187609503,0.1891306691641
"P4",5,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0322273046786878,-94.5244319535552,0.999962645971187,1,NA,"troot(x6*(x4*x4))",NA,NA,0.995283917311983,NA,NA
"P5",5,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0441381526916016,-94.3406692127019,0.999801528801223,2,NA,"troot(x7*(x4*x4))","x4",NA,0.99823201756126,0.148984456599762,NA
"P1",6,FALSE,FALSE,FALSE,FALSE,6,0.715182705463938,0.715182705463938,0.0670558976913479,-99.5125191073178,0.997894149494988,6,NA,"x4","x10*x4","troot(x4)*x4",0.737281687088472,0.567972307945191,0.567861055020085
"P2",6,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0322543865507512,-94.5244319535552,0.999962583605435,1,NA,"troot((x6*x4)*x4)",NA,NA,0.995605945151592,NA,NA
"P3",6,FALSE,FALSE,FALSE,FALSE,4,0.720245756702868,0.720245756702868,0.0822168394141411,-99.5125191073178,0.997087029495632,4,NA,"x4","x4*x10","x4*troot(x4)",0.925926674294351,0.863749263828674,0.863588037302367
"P6",6,FALSE,FALSE,FALSE,TRUE,2,0.639125155659457,0.458688272779023,0.0421347457144435,-94.3406692127019,0.999814195520568,3,NA,"troot(x4*(x4*x7))","x4","x6",0.916954572123029,0.14915583490537,0.122811797524751
"P1",7,FALSE,FALSE,FALSE,FALSE,4,0.994644574715872,0.994644574715872,0.0449769979391818,-100.717970320674,0.999810615094787,4,NA,"troot(x4*x4)","x4","x4*x6",0.988651692306216,0.986774239388844,0.500192905917799
"P2",7,TRUE,FALSE,FALSE,FALSE,1,0.50221070672575,0.00442141345149907,0.0321289123566578,-94.5244319535552,0.999961465643022,2,NA,"troot(x4*(x4*x6))","x10",NA,0.993227477899845,0.19050509610309,NA
"P4",7,FALSE,FALSE,FALSE,TRUE,3,0.800487033167485,0.733983070416538,0.0430114296069649,-94.3406692127019,0.99981313375629,4,NA,"troot((x7*x4)*x4)","troot(x4*x4)","x2*x4",0.849797806991782,0.150185320600649,0.150185309700276
"P5",7,FALSE,FALSE,FALSE,FALSE,3,0.381478412441251,0.381478412441251,0.0380484943405164,-96.7669448270558,0.99988679380805,3,NA,"troot(x4*x4)","x2*x4","x7",0.995967265213012,0.961093442302078,0.140137795655419
"P1",8,FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.0346072325599774,-96.7669448270558,0.999939502767333,3,NA,"troot(x4*x4)","x2*x4","x4",0.939659301980408,0.912220638216215,0.15806052383568
"P2",8,FALSE,FALSE,FALSE,TRUE,4,0.621675048342715,0.527094080073312,0.0446192064852245,-94.3406692127019,0.99980703415313,5,NA,"troot((x7*x4)*x4)","x2","troot(x4*x4)",0.845734109330637,0.192743794130444,0.149480818283822
"P4",8,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0436489428840859,-94.3406692127019,0.999808808315472,2,NA,"troot(x7*(x4*x4))","x4",NA,0.996405112891577,0.127386729652321,NA
"P5",8,FALSE,FALSE,FALSE,FALSE,3,0.404503775670354,0.404503775670354,0.0388483825553778,-96.7669448270559,0.999872752332298,3,NA,"troot(x4*x4)","x2*x4","x10",0.99593508821718,0.995697823909079,0.173072239829372
"P6",8,TRUE,FALSE,FALSE,FALSE,2,0.286620857210728,-0.0700687141839079,0.0308982789089724,-94.5244319535552,0.999963028414858,3,NA,"troot(x6*(x4*x4))","x7","x6",0.999352497161584,0.113928089190497,0.109280365253815
"P1",9,FALSE,FALSE,FALSE,FALSE,4,0.527094080073312,0.527094080073312,0.0396872968056091,-96.7669448270559,0.999880655070066,4,NA,"troot(x4*x4)","x4*x2","x2",0.997737986628978,0.961530491441008,0.186461424146083
"P2",9,FALSE,FALSE,FALSE,TRUE,3,0.800487033167485,0.733983070416538,0.0427907633325058,-94.3406692127019,0.999818023940495,4,NA,"troot(x4*(x4*x7))","x4","troot(x4*x4)",0.846389925037146,0.152793757493759,0.14958304505926
"P3",9,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0362274578389532,-96.7669448270558,0.999922207306317,2,NA,"troot(x4*x4)","x4*x2",NA,0.939732254936923,0.913060334734106,NA
"P4",9,FALSE,FALSE,FALSE,TRUE,2,0.639125155659457,0.458688272779023,0.0425775642857792,-94.3406692127019,0.999812670708739,3,NA,"troot(x4*(x4*x7))","x4","x6",0.918465505786634,0.146339610916929,0.100589241048183
"P5",9,TRUE,FALSE,FALSE,FALSE,1,0.462258623933997,-0.075482752132005,0.0304348751731396,-94.5244319535552,0.999967342412931,2,NA,"troot(x4*(x6*x4))","x6",NA,0.904002751403534,0.128169345285361,NA
"P6",9,FALSE,FALSE,TRUE,FALSE,5,0.99155407933718,0.989864936865089,0.0646021370221043,-99.5125191073179,0.998381722087295,6,NA,"x4","x10*x4","x4*troot(x4)",0.833070786994672,0.602343944750841,0.594876745469307
"P1",10,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0433939002420707,-94.3406692127019,0.999817352955993,2,NA,"troot(x4*(x4*x7))","x4",NA,0.912850788796163,0.141483153365422,NA
"P3",10,FALSE,FALSE,FALSE,FALSE,5,0.836963848521636,0.836963848521636,0.0359602298093869,-101.896843541979,0.999885385166616,5,NA,"troot(x4)*troot(x4)","x4*x2","x4",0.743470202828998,0.741073153659967,0.282588688254663
"P4",10,FALSE,FALSE,FALSE,FALSE,3,0.371839007534399,0.371839007534399,0.0355708786609575,-96.7669448270559,0.999933725801073,3,NA,"x4*x2","troot(x4*x4)","x2",0.923189048719286,0.923153817406259,0.204610806298831
"P6",10,FALSE,FALSE,FALSE,FALSE,3,0.450609143293148,0.450609143293148,0.0389941250875846,-96.7669448270558,0.999883124456363,3,NA,"troot(x4*x4)","x2*x4","x5",0.999625332875898,0.981026315113092,0.105038011690023
"P2",11,TRUE,FALSE,FALSE,FALSE,2,0.736363304519855,0.604544956779782,0.0297459347300631,-94.5244319535552,0.999969558622011,3,NA,"troot((x4*x4)*x6)","troot(x4*x4)","x2*x4",0.824326164404777,0.175072572723671,0.173557880333143
"P3",11,FALSE,FALSE,FALSE,FALSE,5,0.865852860767065,0.865852860767065,0.0784721497934741,-99.5125191073178,0.996776404503948,5,NA,"x4","x4*x10","x4*troot(x4)",0.784992764630141,0.739039509054428,0.736909915855756
"P4",11,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0426499582242292,-94.3406692127019,0.99983103519576,2,NA,"troot(x7*(x4*x4))","x4",NA,0.908112964238572,0.145235880978469,NA
"P5",11,FALSE,FALSE,FALSE,FALSE,4,0.715723221996778,0.715723221996778,0.0941501168832499,-99.5125191073178,0.996032136873686,4,NA,"x4","x4*x10","x4*troot(x4)",1,0.99924662158404,0.993122050588108
"P6",11,FALSE,FALSE,FALSE,FALSE,3,0.985488592981159,0.985488592981159,0.0891568380539322,-99.5125191073178,0.996539299128996,3,NA,"x4","troot(x4)*x4","x10*x4",1,0.931458661012186,0.927188503735511
"P1",12,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0384031256540187,-96.7669448270558,0.999888714438486,2,NA,"troot(x4*x4)","x2*x4",NA,0.998916743879757,0.98999597895593,NA
"P2",12,FALSE,FALSE,FALSE,TRUE,2,0.63309510938467,0.449643203366842,0.045235002192324,-94.3406692127019,0.999799126358162,3,NA,"troot(x4*(x7*x4))","x2","x4",0.912625992184702,0.203265731464464,0.103920493403877
"P3",12,FALSE,FALSE,FALSE,FALSE,7,0.722752143446183,0.722752143446183,0.0453573656533063,-102.237348925172,0.999513252258517,7,NA,"p0(x4)*x4","x4","x6*x4",0.999999999995678,0.999380290721468,0.587831898017749
"P4",12,TRUE,FALSE,FALSE,FALSE,2,0.641505520012678,0.462258280019017,0.0312997177344314,-94.5244319535552,0.999966353059666,3,NA,"troot((x4*x6)*x4)","x6","troot(x4*x4)",0.892248938808224,0.144901610870647,0.101639385795345
"P6",12,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0388790443195411,-96.7669448270558,0.999881146870109,2,NA,"troot(x4*x4)","x2*x4",NA,0.999874545696995,0.980940677573024,NA
"P2",13,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0314558024537245,-94.5244319535552,0.999966089714315,1,NA,"troot(x4*(x4*x6))",NA,NA,0.898427486512034,NA,NA
"P4",13,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0313730274589124,-94.5244319535552,0.999963706613846,1,NA,"troot((x6*x4)*x4)",NA,NA,0.996414648521492,NA,NA
"P5",13,FALSE,FALSE,FALSE,FALSE,6,0.355324583876286,0.355324583876286,0.0691709124271487,-99.877214903911,0.997899102996265,6,NA,"troot(x4*x4)","x4*x3","x2",0.976290169742435,0.975343181318224,0.151255059581204
"P6",13,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0386830287461,-96.7669448270559,0.999886156438585,2,NA,"troot(x4*x4)","x2*x4",NA,0.995962348715414,0.959168972175537,NA
"P1",14,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0435735373039305,-94.3406692127019,0.99982260041891,1,NA,"troot((x7*x4)*x4)",NA,NA,0.910015046513443,NA,NA
"P2",14,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0370900797420015,-96.7669448270558,0.999915294945524,2,NA,"troot(x4*x4)","x2*x4",NA,0.969014400665244,0.95784911521711,NA
"P3",14,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0437203438018336,-94.3406692127019,0.999801000501808,2,NA,"troot(x4*(x7*x4))","x4",NA,0.99999971835829,0.150850746570156,NA
"P6",14,FALSE,FALSE,FALSE,FALSE,4,0.531616614779402,0.531616614779402,0.0324105617454062,-96.7669448270558,0.999943295644842,4,NA,"troot(x4*x4)","x2*x4","x6",0.935936609472223,0.919825342682316,0.210162365298938
"P2",15,TRUE,FALSE,FALSE,FALSE,1,0.462258623933997,-0.075482752132005,0.0318474316422671,-94.5244319535552,0.999961084697682,2,NA,"troot((x4*x6)*x4)","x6",NA,0.989225204691713,0.121343811148743,NA
"P3",15,TRUE,FALSE,FALSE,FALSE,1,0.996429648845025,0.992859297690051,0.0325059493326651,-94.5244319535552,0.999961210958111,2,NA,"troot((x4*x6)*x4)","x4",NA,0.993199773043905,0.105444276020094,NA
"P4",15,FALSE,FALSE,FALSE,TRUE,1,0.502210167435913,0.00442141345149907,0.0450863231499289,-94.3406692127019,0.99979227093718,2,NA,"troot(x4*(x7*x4))","x10",NA,0.994377131275049,0.217060173525877,NA
"P6",15,FALSE,FALSE,FALSE,FALSE,5,0.496235106603011,0.496235106603011,0.0614925244800214,-99.877214903911,0.998820327290121,5,NA,"troot(x4*x4)","x4*x3","x2*x4",1,0.788667139652323,0.205780598365065
"P1",16,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0350828250891658,-96.7669448270558,0.99992795497268,2,NA,"troot(x4*x4)","x4*x2",NA,0.970643369237165,0.940800805361721,NA
"P2",16,FALSE,FALSE,FALSE,TRUE,4,0.423987471495004,0.279984609013674,0.0457128107491517,-94.3406692127019,0.999791553975738,5,NA,"troot((x4*x4)*x7)","troot(x4*x4)","x4*x2",0.84573410933064,0.149467142314247,0.149416796968735
"P3",16,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0382132770563493,-96.7669448270558,0.999897382847548,2,NA,"troot(x4*x4)","x2*x4",NA,0.999986067295601,0.962355594254203,NA
"P4",16,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.03118635878645,-94.5244319535552,0.999966736426291,1,NA,"troot(x6*(x4*x4))",NA,NA,0.89975342270083,NA,NA
"P5",16,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0342075151720834,-96.7669448270558,0.999942381432212,2,NA,"x4*x2","troot(x4*x4)",NA,0.923186267668538,0.921255387175345,NA
"P6",16,FALSE,FALSE,FALSE,FALSE,3,0.404503775670354,0.404503775670354,0.0387710756434585,-96.7669448270558,0.99987387714192,3,NA,"troot(x4*x4)","x4*x2","x10",0.999965720171372,0.999965719544302,0.105872899397737
"P2",17,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0363544414149083,-96.7669448270559,0.999930987392504,2,NA,"troot(x4*x4)","x4*x2",NA,1,0.914486986413055,NA
"P3",17,FALSE,FALSE,FALSE,TRUE,2,0.63309510938467,0.449643203366842,0.0460550776939251,-94.3406692127019,0.999791538763755,3,NA,"troot(x4*(x7*x4))","x2","x4",0.993945694563995,0.199999697926623,0.11497401053155
"P4",17,FALSE,FALSE,FALSE,FALSE,3,0.377869053809186,0.377869053809186,0.0384249412531025,-96.7669448270558,0.999879311830779,3,NA,"troot(x4*x4)","x4*x2","x6",0.997637493942417,0.9976263345749,0.221790871932291
"P5",17,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0437030827381635,-94.3406692127019,0.999817591792851,2,NA,"troot((x4*x7)*x4)","x4",NA,0.990477375677405,0.12738276525739,NA
"P6",17,TRUE,FALSE,FALSE,FALSE,2,0.736363304519855,0.604544956779782,0.030541677340706,-94.5244319535552,0.999968217385546,3,NA,"troot((x4*x4)*x6)","troot(x4*x4)","x2*x4",0.821613279630234,0.17838670513346,0.172764512836518
"P1",18,FALSE,FALSE,FALSE,FALSE,5,0.833111138500608,0.833111138500608,0.0309188528052252,-96.7669448270558,0.999963176034521,5,NA,"troot(x4*x4)","x4*x2","x4",0.885081262433043,0.865909372819449,0.133965802364799
"P2",18,FALSE,FALSE,FALSE,FALSE,3,0.733983070416538,0.733983070416538,0.0371426483624231,-96.7669448270558,0.999910905620233,3,NA,"troot(x4*x4)","x2*x4","x4",0.968896980063399,0.961154573116254,0.114333219737885
"P4",18,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0347365515840886,-96.7669448270558,0.999940315638895,2,NA,"troot(x4*x4)","x4*x2",NA,0.939021626912799,0.921300443901337,NA
"P5",18,FALSE,FALSE,TRUE,FALSE,1,0.453213450370635,-0.0935728909563669,0.0397492352711839,-100.73060235727,0.999865667625982,2,NA,"troot((x4*x9)*(x4*x9))","x2",NA,0.970247183483419,0.367803809664184,NA
"P6",18,TRUE,FALSE,FALSE,FALSE,5,0.991554114054241,0.989864936865089,0.0556703827122752,-99.5125191073178,0.999041551692929,6,NA,"x4","x4*troot(x4)","x4*x10",0.599256681054537,0.461405876962209,0.461405876962209
"P1",19,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0446403403843307,-94.3406692127019,0.999774844586892,2,NA,"troot((x4*x7)*x4)","x4",NA,0.994186308553246,0.156779014099052,NA
"P2",19,TRUE,FALSE,FALSE,TRUE,1,0.668140111623942,0.00442141345149907,0.0361943589898408,-94.3406692127019,0.999927071347265,3,NA,"troot((x7*x4)*x4)","troot((x4*x6)*x4)","x10",0.519164271489125,0.432013834606899,0.132080056874793
"P3",19,FALSE,FALSE,FALSE,TRUE,2,0.63309510938467,0.449643203366842,0.0455065502468587,-94.3406692127019,0.999788913773707,3,NA,"troot(x7*(x4*x4))","x2","x4",0.995244975949076,0.207723516471088,0.131244081133231
"P4",19,TRUE,FALSE,FALSE,FALSE,2,0.668140241873846,0.502210362810769,0.0305242659406124,-94.5244319535552,0.999963206399375,3,NA,"troot((x4*x4)*x6)","x10","troot(x4*x4)",0.898497730713809,0.225576205527325,0.101188343667337
"P6",19,TRUE,FALSE,FALSE,FALSE,1,0.462258623933997,-0.075482752132005,0.0325778606767445,-94.5244319535552,0.999955707950072,2,NA,"troot(x4*(x4*x6))","x6",NA,0.979953977722272,0.152139556520515,NA
"P1",20,FALSE,FALSE,FALSE,FALSE,4,0.284507143719764,0.284507143719764,0.0328022608688589,-96.7669448270558,0.999941648429973,4,NA,"troot(x4*x4)","x4*x2","x6",0.939625158414871,0.934901908596761,0.18028092840623
"P2",20,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.038678822031371,-96.7669448270559,0.999879862095513,2,NA,"troot(x4*x4)","x4*x2",NA,0.990886311843187,0.990690591188779,NA
"P3",20,TRUE,FALSE,FALSE,FALSE,1,0.462258623933997,-0.075482752132005,0.0316284152271533,-94.5244319535552,0.999963197924944,2,NA,"troot(x6*(x4*x4))","x6",NA,0.999944412679967,0.103155824236523,NA
