"Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S3",7,0.85608811554694,3.28971992736566,5.21091472974027,-2450.72400966503,0.731992227099142,15,4705.791,"x2","x4","x8",1,1,1
"S4",7,0.856044701382973,3.28051790283357,5.21220926339556,-2497.70487697495,0.731859049645579,15,7422.561,"x1","x13","x5",1,1,1
"S5",7,0.864399924761799,3.41728998094633,5.11169508843179,-2922.8007328087,0.742101190433138,15,3387.055,"x1","x2","x4",1,1,1
"S6",7,0.836279632814251,3.54426160717083,5.5661404597317,-3074.62981172282,0.694206831011602,15,3424.649,"x1","x4","x5",1,1,1
"S1",8,0.868838201150315,3.4278788181418,5.02593563059399,-3144.69086777182,0.750682191398419,15,3472.11,"x1","troot(x9)","x6",1,1,1
"S2",8,0.851612402184701,3.27982828462602,5.30980766088906,-2331.97746044971,0.721723177127055,15,7878.932,"x1","x10*x10","x4*x9",1,1,1
"S3",8,0.890559029164443,2.92244280219375,4.57887010246355,-2029.30067880714,0.793063974647177,14,3468.532,"troot(x13)","x5*x13","p0(x6)",1,1,1
"S4",8,0.837986633375884,3.74085751769644,5.54334539711299,-3371.22342316235,0.69670633714489,15,3430.415,"x1","x8*x8","x5",1,1,1
"S5",8,0.85567301413328,3.20059390973601,5.21347687563544,-2080.7281176977,0.731728609724506,15,3418.678,"x1","troot(troot(x13))","troot(x13)",1,1,1
"S6",8,0.844097218115957,3.50646087718351,5.44295815436154,-3207.95668332528,0.707591867099126,15,3399.772,"x1","x2","x5",1,1,1
"S1",9,0.838531045512637,3.44441622933352,5.70971545941968,-2022.75256207337,0.678227897167068,15,6383.34,"troot(x13)*x6","x6*x10","x5",1,1,1
"S2",9,0.849295688703286,3.61557065945306,5.33152159028826,-2883.38086562396,0.719442552765995,15,7323.835,"x1","x4","x6",1,1,1
"S3",9,0.885513506984923,3.06135048334847,4.68571902628859,-2369.70601528793,0.78329349750887,15,7424.855,"x1","troot(x13)*x6","x5",1,1,1
"S4",9,0.873520505205349,3.2657510264519,4.96958936982622,-2367.02296775799,0.756241108113139,15,7826.123,"x6*x10","x4","x5",1,1,1
"S5",9,0.830345270780031,3.70218486805325,5.62417096467889,-3232.39521507071,0.687797422107109,15,3402.881,"x1","x2","p0(x13*x7)",1,1,1
"S6",9,0.883084117997398,3.09563757846391,4.90649195895545,-2001.33106483261,0.762391682187546,15,3334.676,"x9*x13","x5","exp_dbl(x13)",1,1,1
"S1",10,0.870654972957449,3.14204677483259,4.97849098128249,-2399.30977540673,0.755367076028793,15,7740.276,"x6*x13","x1*x12","x5",1,1,1
"S2",10,0.853808958980801,3.55584855195127,5.27270086518857,-2866.07412920039,0.725598978720961,15,7601.648,"x1","x2","x11",1,1,1
"S3",10,0.837815562754869,3.59893924059246,5.56338171502738,-3414.41365805046,0.694509876266652,15,7921.896,"troot(x11)","x1*x12","x6",1,1,1
"S4",10,0.822800474763949,3.63533760881969,5.75511958969153,-3307.27826803675,0.673090032879676,15,3375.029,"x1","x2","p3(x12)",1,1,1
"S5",10,0.834631050512365,3.57401853022504,5.57824705916022,-2921.88754887749,0.69287515727345,15,7560.951,"x1","x6*x1","x4",1,1,1
"S6",10,0.862363420285483,3.30432790614763,5.1282314140809,-2478.99004335176,0.740429886972176,15,3293.64200000001,"sigmoid(x3)","x1","x5",1,1,1
"S1",11,0.85103115413009,3.33985485402149,5.52179263881195,-1987.37831633803,0.699060189137709,15,3317.601,"x1","p3(x13)*(x6*x11)","exp_dbl(x13)",1,1,1
"S2",11,-0.0817805502318162,6.91420986671337,27.4127446019066,-2437.39370264799,-6.41693540246096,15,3369.206,"x1","x3","x9*x13",1,1,1
"S3",11,0.802182633384976,3.60539358062324,6.59244522530245,-2053.49538460017,0.571044227145652,15,3429.191,"x1","exp_dbl(x13)","x6",1,1,1
"S4",11,0.780625273608196,3.61480733482175,6.52661816697172,-2231.99309451034,0.579567899263418,15,7292.59,"x1","x6","x5",1,1,1
"S5",11,0.876609150562674,3.15546767803366,4.92584185858098,-2433.56094165009,0.760513858607765,15,7491.138,"x1","p0(x8)","x4",1,1,1
"S6",11,0.883272042718635,3.01047864496896,4.72083436696724,-2064.32662088808,0.780033277804355,15,7197.627,"x13*x8","x10*x11","x5",1,1,1
"S1",12,0.859314759206743,3.24439675674774,5.18594070813467,-2544.28837138594,0.734554998951101,15,3237.207,"x1","x2","x5",1,1,1
"S2",12,0.837197869525688,3.73901331084178,5.58296391638346,-3409.5710177414,0.692355540089577,15,3365.017,"x1","x5*x13","x4",1,1,1
"S3",12,0.86874284404193,3.5925023938824,5.07776345068388,-3151.26228953388,0.745513711845916,15,3432.907,"x1","x2","sigmoid(x8)",1,1,1
"S4",12,0.864483375985066,3.52345445692583,5.09639556954068,-2740.24547897594,0.7436426841162,15,3364.666,"x1","x12*x12","x5",1,1,1
"S5",12,0.877581482786688,3.01142366734307,4.84928594382301,-1974.6959386341,0.767900051601978,15,6726.386,"x1","p0(x13)","x11*x12",1,1,1
"S6",12,0.838738020550871,3.55655537105938,5.53193516126251,-3100.47700053349,0.697953631091905,14,7017.797,"x1","x2","x1*x6",1,1,1
"S1",13,0.873542134890315,3.37967666186161,4.9338033171101,-2754.3085817888,0.759739087565793,15,7634.598,"x1","p3(1+x13)","x5",1,1,1
"S2",13,0.814619980435675,3.47012182436692,5.93731356607623,-2140.55596601453,0.652063950240398,15,3434.139,"x1","x5*x10","troot(p0(x6))*x9",1,1,1
"S3",13,0.819199800750322,3.62940414885643,6.21417591342891,-2703.91019887214,0.618858232745686,15,8218.152,"x1","x8*x6","exp_dbl(x13)",1,1,1
"S4",13,0.855247020753695,3.2946955569602,5.2422652400833,-2498.4310442595,0.728757687299384,15,7691.486,"x1","x5","x6",1,1,1
"S5",13,0.840864453198511,3.49170278418661,5.47142701114026,-3104.08681959576,0.70452504375612,15,7667.672,"x6","p3(x2)","x8",1,1,1
"S6",13,0.852242313716546,3.52889161564885,5.30262686865353,-2671.70237569006,0.722475331252882,15,7590.61,"x1","x6","(x10*x8)*x5",1,1,1
"S1",14,0.780477444035166,4.0605271835996,7.40026402422877,-2784.42274953253,0.459477364004088,15,7504.595,"x1","sigmoid(x13)","x8",1,1,1
"S2",14,0.867261118035766,3.21593861841708,5.0199595534681,-1752.02313331623,0.751274740430557,15,7903.933,"x1","p3(x13*x9)","x9*x6",1,1,1
"S3",14,0.868853113902751,3.40179568498928,5.06553969202134,-2968.44514629614,0.746737492627517,15,7348.196,"x1","x2","x5",1,1,1
"S4",14,-0.17622024333238,8.90805898512712,42.5521245195999,-1919.57105849572,-16.8715389983553,15,7508.826,"x1","x9*x6","x5",1,1,1
"S5",14,0.822879077629663,3.72698108972416,5.74405121265586,-3368.01872665554,0.674346265094362,15,7556.741,"x1","x2","p0(x12)",1,1,1
