"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S5",26,FALSE,FALSE,FALSE,FALSE,9,0.667115757404124,0.667115757404124,0.00211231860882856,0.00704477038452568,620.929284613908,0.999998323145732,9,801.419,"troot(x4)*troot((x4*troot(x4))*x6)","p0(x4)*(troot(x4)*troot((x4*troot(x4))*x6))","x4*x9",1,1,1
"S6",26,FALSE,FALSE,FALSE,FALSE,9,0.461027730993251,0.461027730993251,0.00535158584922892,0.0159062542524914,408.78476147462,0.999991451351189,9,788.023999999999,"troot(1+((x4*x4)+(x6+(((x4*p0(x8))*x6)+troot(x4*p0(x8))))))","troot(p0(x8))","troot(1+((x4*x4)+(x6+(((x4*p0(x8))*x6)+troot(x4*p0(x8))))))*x6",1,1,1
"S1",27,FALSE,TRUE,FALSE,TRUE,2,0.733680955185464,0.467362625932423,0.00179499429308071,0.00262388128653445,659.384931575601,0.999999767378421,4,744.667,"troot((x4*x9)*x4)","troot((x4*x7)*x4)","troot((x4*x9)*x4)*x9",1,1,1
"S2",27,FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,0.00155052154900323,0.00240723190652184,684.667953992211,0.999999804206848,5,837.177,"troot(x4)*troot(x4)","p3(x5)","troot(x4)*(troot(x4)*x9)",1,0.999979791966004,0.99997861541796
"S3",27,TRUE,FALSE,FALSE,FALSE,5,0.639740251194438,0.567688301433325,0.00101515137858254,0.0019928604114375,687.914827432202,0.99999986581147,6,734.867,"troot(x4*(x4*x6))","x4","x9*x4",1,0.998154774022654,0.724103541054902
"S4",27,FALSE,FALSE,FALSE,FALSE,6,0.489099411814496,0.489099411814496,0.00177309202010998,0.00268451519280562,671.698350886599,0.999999756503138,6,822.55,"troot(x4)*troot(x4)","(x9*(troot(x4)*troot(x4)))*x7","x9*(troot(x4)*troot(x4))",1,1,1
"S5",27,FALSE,FALSE,FALSE,FALSE,10,0.373195350441735,0.373195350441735,0.00490941729688186,0.0241279881066446,637.555879593264,0.999980330022819,10,779.211,"p3(x7)","x4","troot(x4*x9)*p3(p0(x4*x9))",1,1,1
"S6",27,FALSE,FALSE,TRUE,FALSE,5,0.356890867668531,0.22826908286271,0.00368515924198617,0.0136561787467761,642.654241185747,0.999993698847055,6,840.148,"troot(x4*x9)*troot(x4*x9)","(troot(x4*x9)*troot(x4*x9))*x9","x7*x7",1,1,0.999999990713385
"S1",28,FALSE,FALSE,FALSE,FALSE,6,0.477904508460273,0.477904508460273,0.00154809217716154,0.00243575394531951,678.263597506423,0.999999799539659,6,683.983,"(troot(x4)*troot(x4))*x7","x9*(troot(x4)*troot(x4))","troot(x4)*troot(x4)",1,1,1
"S2",28,TRUE,FALSE,FALSE,FALSE,2,0.995239780774171,0.992859671161257,0.000822947370000714,0.00177116715851317,682.554649827532,0.999999894006133,3,760.08,"troot(((x4*x6)*x4))","x4","x4*x6",1,0.972125950477247,0.971191664540958
"S3",28,FALSE,FALSE,FALSE,FALSE,4,0.740209812033418,0.740209812033418,0.00176646602106733,0.00267168508584091,692.722050182157,0.999999758825066,4,764.3,"troot(x4*x4)","troot(x4*x4)*x9","x7*troot(x4*x4)",1,1,1
"S4","Mod2",TRUE,FALSE,FALSE,FALSE,2,0.644250844491914,0.466376266737871,0.000797385853284257,0.00162320723727921,684.777371260963,0.999999910975493,3,681.089,"troot(x6*(x4*x4))","troot(x4*x4)","x1",1,0.995465663653613,0.14160405383025
"S5",28,FALSE,FALSE,FALSE,FALSE,5,0.975945874197084,0.975945874197084,0.00286914478267391,0.00885134922537549,601.870017910425,0.999997352837586,5,753.214,"x4","(x9*x4)*x4","troot(x4*x6)*troot(x4*x6)",1,1,1
"S6",28,FALSE,FALSE,FALSE,FALSE,3,0.641494117379427,0.641494117379427,0.00158072237900305,0.00321392032129612,633.379132566208,0.999999650994841,3,824.791,"troot(x4)*(troot(x4)*x6)","x6*(troot(x4)*(troot(x4)*x6))","x6",1,1,0.999002946239804
"S1",29,FALSE,FALSE,FALSE,FALSE,6,0.285955912396293,0.285955912396293,0.000933373213622193,0.00158993687023395,673.695386157929,0.999999914587507,6,801.574,"troot(x4)*troot(x4)","(troot(x4)*troot(x4))*x6","x9",1,1,0.653119203493001
"S2","Mod1",FALSE,FALSE,FALSE,FALSE,5,0.585406997167024,0.585406997167024,0.00150048212701094,0.00250185381146257,696.615116974388,0.999999788512115,5,633.157,"troot(x4*x4)","troot(x4*x4)*x9","x7*troot(x4*x4)",1,1,0.999999999999972
"S3",29,FALSE,FALSE,FALSE,FALSE,8,0.350669827474623,0.350669827474623,0.00480102293700878,0.0240236639281394,682.310209978298,0.999980499752503,8,787,"troot(x4*x4)*x9","troot(x4*x4)","p3(x7)*(troot(x4*x4)*x9)",1,1,0.999999999274751
"S4",29,FALSE,FALSE,FALSE,FALSE,12,0.533714648130526,0.533714648130526,0.0675223394755965,0.43776197781916,597.875454880348,0.99352503073028,12,935.456,"x4","x4*p0(x4)","troot(x4)",1,1,1
"S5",29,FALSE,FALSE,FALSE,FALSE,10,0.77945598969364,0.77945598969364,0.0435950634564858,0.292862164328365,596.197677410312,0.997102068129834,10,751.722,"troot(troot(x7*x4)*(troot(x4)*x4))","troot(x4)*x4","x4",1,1,1
"S6",29,FALSE,FALSE,FALSE,FALSE,9,0.672449974044218,0.672449974044218,0.0045889145212944,0.0186566187718057,577.837751472912,0.99998823945331,9,847.55,"x4","x9*x4","x4*x4",1,1,1
"S1",30,FALSE,FALSE,FALSE,FALSE,4,0.48252037151739,0.48252037151739,0.000922728842992357,0.0016245046877266,683.81122596715,0.999999910833119,4,706.563,"troot(x4*x4)","x6*troot(x4*x4)","x9",1,1,0.557966295863066
"S2",30,FALSE,FALSE,FALSE,FALSE,5,0.657085257273899,0.657085257273899,0.00164983358577184,0.00248684094285936,696.692541424931,0.999999791042649,5,840.182,"x9*troot(x4*x4)","troot(x4*x4)","x7*troot(x4*x4)",1,1,1
"S3",30,FALSE,FALSE,FALSE,FALSE,6,0.34454322929852,0.34454322929852,0.00165594205444185,0.00255350543342215,586.023077869031,0.999999779689494,6,713.121,"x7*sigmoid((x4*x3)*x7)","((troot(x4)*troot(sigmoid((x4*x3)*x4)+(x7*x4)))*x9)*x6","troot(x4)*troot(sigmoid(((x4*x3)*x10)*(x4*x3))+x4)",1,1,1
"S4","Mod3",FALSE,FALSE,FALSE,FALSE,13,0.674034112664275,0.674034112664275,0.0072225809444584,0.0316164277451915,648.439963190896,0.999966225631844,13,710.352,"x4*x4","x4*x6","x4*x10",1,1,1
"S5","Mod4",FALSE,FALSE,FALSE,FALSE,5,0.592525122582957,0.592525122582957,0.00155051916332392,0.0024072485772188,684.667953992209,0.999999804204136,5,651.096,"x9*(troot(x4)*troot(x4))","p3(x5)","troot(x4)*troot(x4)",1,1,1
"S6",30,TRUE,FALSE,FALSE,FALSE,2,0.995239780774171,0.992859671161257,0.000820309806536825,0.00176069122602995,687.684548542455,0.99999989525627,3,815.726000000001,"troot((x4*x6)*x4)","x4","x4*x6",1,0.975318055860728,0.968666057840251
