"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S4",3,FALSE,FALSE,FALSE,FALSE,4,0.715723221996778,0.715723221996778,0.097181298189298,0.345771400781938,-99.5125191073178,0.9959603868753,4,2931.947,"x4","x4*troot(x4)","x10*x4",1,0.999999999584868,0.99994454010983
"S5",3,FALSE,FALSE,FALSE,FALSE,5,0.211056751963777,0.211056751963777,0.0396519338486961,0.062514221467986,-96.7669448270558,0.999867955812124,5,2681.15,"troot(x4*x4)","x2*x4","x10",1,0.995328640580355,0.146379981676613
"S6",3,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0376101798258305,0.0509984753961124,-96.7669448270558,0.9999121228382,2,2127.355,"troot(x4*x4)","x4*x2",NA,1,0.957732349911035,NA
"S2",4,FALSE,FALSE,FALSE,TRUE,1,0.45321301523198,-0.0935728909563669,0.0473953601960228,0.0819481988866083,-94.3406692127019,0.999773096883229,2,2577.265,"troot((x7*x4)*x4)","x2",NA,1,0.259653441337075,NA
"S3",4,FALSE,FALSE,FALSE,FALSE,5,0.767116760117149,0.767116760117149,0.0549368027303158,0.146676094759365,-102.146901329513,0.999273090553672,5,2701.249,"x4","p0(x4)*x4","x7*x4",0.999999999993015,0.999977291008152,0.877771084808408
"S4",4,FALSE,FALSE,FALSE,FALSE,4,0.715723221996778,0.715723221996778,0.0955343426467692,0.344708367392117,-99.5125191073179,0.995985187321785,4,2942.201,"x4","x4*troot(x4)","x4*x10",1,0.999999999784661,0.999992764891164
"S5",4,FALSE,FALSE,FALSE,FALSE,6,0.313807732710145,0.313807732710145,0.0681700521329556,0.234169067856789,-99.688620267966,0.99814723349741,6,2610.141,"x4","x4*p0(x4)","(x2*x4)*x10",1,1,0.913859346074348
"S6",4,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0321163163250423,0.0329941770664381,-94.5244319535552,0.999963217924002,1,2295.651,"troot(x4*(x4*x6))",NA,NA,1,NA,NA
"S1",5,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0389864774266065,0.0612845266417654,-96.7669448270559,0.999873099507431,2,2671.555,"x4*x2","troot(x4*x4)",NA,0.999958563098488,0.999853330860896,NA
"S2",5,FALSE,FALSE,FALSE,FALSE,5,0.55964764235026,0.55964764235026,0.0958892638830398,0.343907842225825,-99.5125191073178,0.996003813075964,5,2783.559,"x4","x4*troot(x4)","x10*x4",1,0.999999999999884,0.999999206718868
