"Experiment","Run","Number","Feature","Margs","Margs..S4.32.Feature1.troot.x4.x4..1.S4.32.Feature2.x2.x4.0.982607409415272.S4.32.Feature3.x4.0.100633756680082.S4.32.Feature4.x5.0.0892504291746703.S4.32.Feature5.x4.x6.0.0179087434483708.S5.32.Feature1.troot.x4.x4..0.999994805032588.S5.32.Feature2.x4.0.999374371671173.S5.32.Feature3.x4.x9.0.839862507379332.S5.32.Feature4.x4.x4.0.166584207015835.S5.32.Feature5.x10.x4.0.163091295976507.S6.32.Feature1.x4.1.S6.32.Feature2.x10.x4.0.999999999410585.S6.32.Feature3.x4.troot.x4..0.999999976052129..Experiment.Run.Number.Feature.Margs"
"S6",7,"Feature3","x9",0.0942784878711932,NA
"S6",7,"Feature4","x4",0.0853368225336831,NA
"S6",7,"Feature5","x1",0.0719021073161077,NA
"S1",8,"Feature1","x4",0.99999994780249,NA
"S1",8,"Feature2","x4*p0(x4)",0.968505518454851,NA
"S1",8,"Feature3","x10*(x4*x2)",0.817514212874611,NA
"S1",8,"Feature4","x9*x4",0.132474708157922,NA
"S1",8,"Feature5","x10*x4",0.0637712168824193,NA
"S1",8,"Feature6","x4*x2",0.0470497834115653,NA
"S1",8,"Feature7","x4*p0(p0(x4))",0.0314945467995724,NA
"S1",8,"Feature8","x10",0.0218765608143558,NA
"S1",8,"Feature9","x4*(x4*x3)",0.00975970384897328,NA
"S2",8,"Feature1","troot((x6*x4)*x4)",1,NA
"S3",8,"Feature1","troot(x4*x4)",1,NA
"S3",8,"Feature2","x4*x2",0.954548847142272,NA
"S3",8,"Feature3","x2",0.193030339979092,NA
"S3",8,"Feature4","x4",0.0859175667536778,NA
"S3",8,"Feature5","x4*x3",0.0465523055641119,NA
"S5",8,"Feature1","troot(x4*x4)",0.999999999999955,NA
"S5",8,"Feature2","x3*x4",0.883163481248681,NA
"S5",8,"Feature3","x4",0.146481227052402,NA
"S5",8,"Feature4","(x6*x4)*x2",0.116982172559638,NA
"S5",8,"Feature5","x1",0.0710308378715677,NA
"S5",8,"Feature6","p3(x4)",0.00132525907605872,NA
"S6",8,"Feature1","x9*x4",1,NA
"S6",8,"Feature2","troot(x4*x4)",1,NA
"S6",8,"Feature3","x4",0.999975622826559,NA
"S6",8,"Feature4","x7",0.167654478360681,NA
"S1",9,"Feature1","troot(x4*(x4*x6))",1,NA
"S1",9,"Feature2","x6",0.111885084489041,NA
"S1",9,"Feature3","x4",0.0887630722065509,NA
"S2",9,"Feature1","troot((x7*x4)*x4)",1,NA
"S2",9,"Feature2","x4",0.161340578608756,NA
"S3",9,"Feature1","x4*p0(x4)",1,NA
"S3",9,"Feature2","x4",1,NA
"S3",9,"Feature3","x4*troot(x10)",0.651833381922853,NA
"S3",9,"Feature4","x6*x4",0.348532695226964,NA
