"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"S5",8,0.892936703588696,2.86613634694149,4.57377488043757,2729.73600000003,"exp_dbl(x13*x1)","p0(x1)","x10*(x10*x5)","x6","x9"
"S5",9,0.8486122775121,3.34928081685003,5.34471550420296,2756.23100000003,"x4*p0(x6)","x10*x8","x4","x9*sigmoid(x6)","x6"
"S5",10,0.909402584717268,2.85211485112344,4.23161759753666,1960.53399999999,"x6","x5","troot(1+(x8+(x5*x6)))","x8","x9"
"S5",11,0.150182257973923,4.89433315720206,16.3769106179581,2552.25899999996,"x1","exp_dbl(x13)","x11*x11","x5","(x11*x10)*x13"
"S5",12,0.870489433217777,3.41741925689528,5.00770535460575,1112.77799999999,"x1","x12*x10","x5","x9","x13*x13"
"S5",13,0.863446909380676,3.33057210871527,5.09257401359659,2661.80599999998,"x1","x2","exp_dbl(x3)*p0(x5)","x4","p0(x13)"
"S5",14,0.892919777499859,2.89747960402051,4.55408197368261,2014.293,"troot(x13)","x12*x11","x5","troot(troot(x13))*(x1*x12)","exp_dbl(x1)*(sigmoid(x8)*x6)"
"S5",15,0.859527472752811,3.26236118647142,5.2195689609287,2566.93899999995,"p0(x8)","troot(p0(x11))","troot(x6)","x4","x5"
"S5",16,0.658614128011901,3.67538770112393,11.261779629741,2537.61199999996,"p3(x11*x6)","x8*((x13*x10)*(sigmoid(x9)*x5))","x6","x13","p0(troot((x13*x10)*(sigmoid(x9)*x5)))"
"S5",17,0.876241504020254,3.06049158678482,5.05952285100524,1553.88400000002,"p3(x6)","p3(p3(x6))*(x11*troot(x6))","sigmoid(x13)*x9","p0(x8)","x9"
"S5",18,0.906134852555737,2.81493004599824,4.25811389086386,2489.98700000002,"(x10*x5)*(troot(x1)*x11)","x11*x7","exp_dbl(x6)","x9","x11*x6"
"S5",19,0.911249064099976,2.72518288917141,4.17890574832071,2706.07500000001,"p3(p3(x6))","x9*sigmoid(x8)","p3(p3(x6))*x6","troot(x13)*x10","p3(x5)"
"S5",20,0.903706125476026,2.6638067819626,4.33609818381381,1753.99199999997,"(p3(1+(x6*x11))*troot(x10))*x7","x6","x6*x9","(p0(x12)*exp_dbl(sigmoid(x6)))*x6","x10*exp_dbl(sigmoid(x6))"
"S5",21,0.897384908056792,2.7836827638894,4.46817244225166,2914.641,"p0(x5*x6)*(x13*x1)","x4","x5","x6","troot(1+(x12+p3(x10)))"
"S5",22,0.883157237305341,2.91111278948782,4.72565119547105,2565.70599999995,"x1","x11*x6","x13","sigmoid(exp_dbl(x6)*exp_dbl(x6))","p3(x1)"
"S5",23,0.902729772431052,2.73022598728824,4.3324231069374,1018.07499999995,"x7","p0(p0(x6))","x9","troot(x5*x8)","p3(x1)"
"S5",24,0.870151053727356,2.85420160389404,4.98645704340544,1439.55300000001,"x1","x12*x8","x7","p3(exp_dbl(sigmoid(x13)))","exp_dbl(troot(x13*x10))*exp_dbl(sigmoid(x13))"
"S5",25,0.880676502566495,3.02521652548037,4.82407215572483,2857.84600000002,"x1","p3(x6)*x4","x5*x4","x1*x1","exp_dbl(p0(x11*p3(x6)))"
"S5",26,0.52139599297471,8.78787390172669,43.3454957689054,2511.53000000003,"p3(((x1*troot(x12))*exp_dbl(x13))*(x6*x5))*troot(x12)","x6","p3(x9*x6)*x6","x7*x7","x1*troot(x12)"
"S5",27,0.884169599232054,3.14750707209482,4.72787748709746,2838.82000000001,"(x1*x13)*(x1*x13)","troot((x10*x11)*x6)","exp_dbl(1+(x6*x5))","x6","p0(1+x9)"
"S5",28,0.873888439013061,3.04945598580107,4.90473998272098,2190.91799999995,"x13*x1","p3(x6)","x6","troot(x6)","p3(x6)*(sigmoid(1+exp_dbl(x6))*(x8*x10))"
"S5",29,0.832961449639013,3.02359992362835,5.62956650538089,2035.73700000002,"x6","(x11*(x6*x10))*p0(x10)","exp_dbl(exp_dbl(x13))","x1*x5","x9"
"S5",30,0.870948034311385,3.24363551945185,4.94834781267882,2964.245,"x1","p3(x6)","x4","x5","x6"
"S6",1,0.812937175462485,3.6079802441438,7.80973232656828,1842.34499999997,"x1","x1*exp_dbl(x5)","x10","(troot(troot(x10))*(p3(x6)*x6))*x4","x7"
"S6",2,0.77677648045451,3.65936745042698,9.32855127236096,1823.609,"x5*x1","x11*x3","x13","x3*sigmoid(x13*x8)","x8"
"S6",3,0.852076609483145,3.3838991294895,6.6772836278242,1850.348,"p3(x1)*x4","x13*x9","x13*((x9*x11)*x13)","x9","x5*(x6*x4)"
"S6",4,0.885902594744921,2.85412280396168,4.80520227038101,1689.80499999999,"x8","x5*((sigmoid(x5)*((x7*troot(x1))*x5))*(x6*troot(exp_dbl(x13))))","x10","p0(x12)","troot(x1)*x7"
