"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S5",4,FALSE,FALSE,FALSE,FALSE,5,0.993791759110506,0.993791759110506,0.101426582280643,0.247128076255597,-28.6745241575369,0.99793649363513,5,2644.442,"sigmoid(pm05(x4))","x7*x4","x4*x9",0.685963633752737,0.375403768371944,0.315294650662446
"S6",4,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0765033431382169,0.37950942343867,-24.0166299391974,0.995133611645526,1,2485.336,"troot(x4*x4)*x9",NA,NA,1,NA,NA
"S1",5,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.00186335478685152,0.00898224162783223,-25.6519444941945,0.999997273967036,1,2451.677,"troot(x4)*troot(x4*x6)",NA,NA,0.999951715571983,NA,NA
"S2",5,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0608094278810165,0.303847715910808,-22.889285690445,0.996880581899073,1,2612.232,"troot((x4*x4)*x9)",NA,NA,0.999999999999997,NA,NA
"S3",5,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0628291865176826,0.308923024857239,-24.0166299391974,0.996775501396852,1,2463.798,"troot(x4*x4)*x9",NA,NA,0.931326423739138,NA,NA
"S4",5,FALSE,FALSE,FALSE,FALSE,1,0.999999312170039,0.999999312170039,0.130153972227497,0.659351114474827,-26.7809518466237,0.985310902109103,1,2543.279,"troot(x4*x4)",NA,NA,1,NA,NA
"S5",5,FALSE,FALSE,FALSE,FALSE,2,0.999999528185775,0.999999528185775,0.0779762195679001,0.336088924605063,-24.0166299391974,0.996183458070583,2,2458.614,"troot(x4*x4)*x9","troot(x4*x4)",NA,0.876416218716734,0.123583851317215,NA
"S6",5,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0765012982673275,0.379571882348877,-24.0166299391974,0.995132009712577,1,2606.346,"x9*troot(x4*x4)",NA,NA,1,NA,NA
"S1",6,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.124162324372311,0.65085858326112,-26.7809518466237,0.98568686033993,2,2485.561,"troot(x4*x4)","x4",NA,0.999922733877121,0.143470810052933,NA
"S2",6,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0018512534012151,0.00888606139144641,-20.5220457792714,0.999997332034222,1,2505.87,"troot(x6*(x4*x4))",NA,NA,1,NA,NA
"S3",6,FALSE,FALSE,FALSE,FALSE,2,0.982068314829844,0.982068314829844,0.163196768624329,0.259546634952075,-28.2364995747419,0.997723894223219,2,2575.27,"x4","troot(x4)*x9",NA,1,0.966240908187387,NA
"S4",6,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.00185033402314485,0.00888769190655527,-20.5220457792714,0.999997331055035,1,2572.33,"troot(x4*(x6*x4))",NA,NA,0.999999671077589,NA,NA
"S5",6,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.064441038304286,0.318323524594081,-24.0166299391974,0.99657627317521,1,2529.929,"x9*troot(x4*x4)",NA,NA,0.94104995618444,NA,NA
"S6",6,FALSE,FALSE,TRUE,FALSE,0,0.999999791697638,NA,0.00970846722816038,0.043320867945688,-25.6966687496916,0.999936590265559,1,2739.438,"troot((x4*x9)*(x4*x9))",NA,NA,0.999999656499498,NA,NA
"S1",7,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0606966543830859,0.303761892167474,-22.889285690445,0.996882343849648,1,2468.199,"troot(x9*(x4*x4))",NA,NA,1,NA,NA
"S2",7,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.076323503859438,0.378348563086559,-24.0166299391974,0.995163337164536,1,2493.592,"troot(x4*x4)*x9",NA,NA,1,NA,NA
"S3",7,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0608576727420483,0.303916304198238,-28.0191844053681,0.996879173432381,1,2562.703,"troot(x4*x9)*troot(x4)",NA,NA,1,NA,NA
"S4",7,FALSE,FALSE,FALSE,FALSE,2,0.982068314829844,0.982068314829844,0.15993298790457,0.25485072033305,-28.2364995747419,0.997805511209603,2,2531.044,"x4","x9*troot(x4)",NA,0.975690381515949,0.971625279833155,NA
"S5",7,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0607430855389285,0.303874324051448,-22.889285690445,0.996880035536238,1,2688.946,"troot((x4*x9)*x4)",NA,NA,0.999999999994448,NA,NA
"S6",7,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0763146973378771,0.379026948359599,-24.0166299391974,0.99514597718112,1,2598.368,"x9*troot(x4*x4)",NA,NA,0.999474111846577,NA,NA
"S1",8,FALSE,FALSE,FALSE,FALSE,3,0.988267413518028,0.988267413518028,0.182239613171405,0.575906667384375,-31.5762099246959,0.9887936069994,3,2539.86,"x4","troot(x4)","troot(x4)*troot(x4)",0.585814106096915,0.576800659070511,0.414185895460353
"S2",8,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0608575389262831,0.303917284972558,-22.889285690445,0.996879153289786,1,2535.596,"troot((x4*x4)*x9)",NA,NA,1,NA,NA
"S3",8,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0765098649427843,0.37954480988763,-24.0166299391974,0.995132704093719,1,2410.044,"troot(x4*x4)*x9",NA,NA,0.999999998711034,NA,NA
"S4",8,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.124198891334303,0.650917535741515,-26.7809518466237,0.985684267354845,2,2571.247,"troot(x4*x4)","x4",NA,0.999991905242345,0.143147652111403,NA
"S5",8,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0184451400885766,0.0723437917785968,-20.678976752487,0.999823166651182,1,2623.653,"troot(x4*(x7*x4))",NA,NA,0.999999997709188,NA,NA
"S6",8,FALSE,FALSE,FALSE,FALSE,2,0.996429304930045,0.996429304930045,0.124274266684274,0.650864522900822,-26.7809518466237,0.985686599099523,2,2539.402,"troot(x4*x4)","x4",NA,1,0.14212288653017,NA
"S1",9,FALSE,TRUE,FALSE,FALSE,0,0.999999647456683,NA,0.0608126679351706,0.303860094089653,-22.889285690445,0.996880327735559,1,2504.336,"troot((x9*x4)*x4)",NA,NA,0.999996856691338,NA,NA
"S2",9,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0223739536682646,0.0950554840523285,-20.678976752487,0.99969470760117,1,2537.244,"troot((x4*x4)*x7)",NA,NA,0.901174591941405,NA,NA
"S3",9,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0184565721699774,0.0723314135613603,-20.678976752487,0.999823227159327,1,2400.042,"troot(x7*(x4*x4))",NA,NA,1,NA,NA
"S4",9,FALSE,FALSE,FALSE,FALSE,2,0.982068314829844,0.982068314829844,0.161208884417057,0.255085883445399,-28.2364995747419,0.997801459418725,2,2544.73,"x4","x9*troot(x4)",NA,0.999998211523064,0.999984347433845,NA
"S5",9,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0630080877961379,0.309744062423096,-24.0166299391974,0.996758338852339,1,2436.856,"troot(x4*x4)*x9",NA,NA,0.93213616493918,NA,NA
"S6",9,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.00185160370453649,0.00888733507443336,-20.5220457792714,0.999997331269342,1,2602.206,"troot(x4*(x6*x4))",NA,NA,1,NA,NA
"S1",10,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.076440730776583,0.379551436068766,-24.0166299391974,0.995132534143479,1,2578.417,"troot(x4*x4)*x9",NA,NA,1,NA,NA
"S2",10,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.00192414524754681,0.00891512476894476,-20.5220457792714,0.999997314553609,1,2533.075,"troot((x4*x6)*x4)",NA,NA,1,NA,NA
"S3",10,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0628765404744147,0.308981098656707,-24.0166299391974,0.996774288949275,1,2418.393,"troot(x4*x4)*x9",NA,NA,0.931485810770529,NA,NA
"S4",10,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0764781017502908,0.379532482293334,-24.0166299391974,0.995133020267585,1,2441.55,"troot(x4*x4)*x9",NA,NA,1,NA,NA
"S5",10,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0184453814959184,0.0723447767764322,-20.678976752487,0.999823161835795,1,2452.057,"troot(x4*(x4*x7))",NA,NA,1,NA,NA
"S6",10,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0765012980673241,0.379571880819701,-24.0166299391974,0.995132009751801,1,2526.702,"troot(x4*x4)*x9",NA,NA,1,NA,NA
"S1",11,FALSE,FALSE,FALSE,FALSE,1,0.99999974420151,0.99999974420151,0.0764734447832643,0.379538950314107,-24.0166299391974,0.995132854379311,1,2440.475,"troot(x4*x4)*x9",NA,NA,1,NA,NA
"S2",11,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0184560589923761,0.0723303037282419,-20.678976752487,0.999823232583993,1,2511.894,"troot((x4*x4)*x7)",NA,NA,1,NA,NA
