"Experiment","Run","TP","Actual_TP","Count_FP","Correlation","Correlation_FP","RMSE","Count_P","Time","FirstFeature","SecondFeature"
"S4",21,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,21.407862697543,3,124.923000000001,"x4","p2(x4)"
"S4",22,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952474352755,2,119.297,"x4","x4*x4"
"S4",23,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5953846037417,2,125.887000000001,"x4","p2(x4)"
"S4",24,FALSE,FALSE,3,0.0718909826640523,0.0718909826640523,16.0511225571832,3,156.043000000001,"x4","p2(x4)"
"S4",25,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952438065748,2,108.814,"x4","p2(x4)"
"S4",26,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952372154692,2,141.110000000001,"x4","x4*x4"
"S4",27,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5511793290318,2,119.616,"x4","x4*x4"
"S4",28,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.8089115348738,2,125.758,"x4","x4*x4"
"S4",29,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5953228129278,2,121.607999999998,"x4","x4*x4"
"S4",30,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5934434741088,2,125.898999999998,"x4","x4*x4"
"S5",1,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5956337936945,2,113.913,"x4","x4*x4"
"S5",2,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952192032328,2,99.7849999999999,"x4","x4*x4"
"S5",3,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.595287376609,2,101.446,"x4","x4*x4"
"S5",4,FALSE,FALSE,5,-0.00529492483692225,-0.00529492483692225,47.0958984427484,5,112.741000000002,"x4","p3(x4)*x9"
"S5",5,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5951847392275,2,104.936999999998,"x4","p2(x4)"
"S5",6,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5953604281877,2,101.451000000001,"x4","p2(x4)"
"S5",7,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5953747185167,2,101.513999999999,"x4","x4*x4"
"S5",8,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5951759507754,2,103.508000000002,"x4*x4","x4"
"S5",9,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5951001245147,2,102.243000000002,"x4","x4*x4"
"S5",10,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.595331077246,2,101.044999999998,"x4","x4*x4"
"S5",11,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5951007600806,2,102.331999999999,"x4","x4*x4"
"S5",12,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5951398899967,2,112.076000000001,"x4","x4*x4"
"S5",13,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5933217133362,2,102.314999999999,"x4","x4*x4"
"S5",14,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5954411010086,2,109.716,"x4","x4*x4"
"S5",15,FALSE,FALSE,2,0.0634580961939141,0.0634580961939141,16.5952460424461,2,108.029999999999,"x4","x4*x4"
