"Experiment","Run","F1","F2","F3","F4","Actual_TP","Count_FP","Correlation","Correlation_FP","RMSE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"S5",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5952165738618,2,22.9470000000001,"p2(x4)","x4",""
"S5",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5952845210047,2,20.7350000000006,"x4","x4*x4",""
"S6",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5949227231313,2,22.398000000001,"x4","x4*x4",""
"S6",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5950289258138,2,22.4640000000072,"x4","x4*x4",""
"S6",3,FALSE,FALSE,FALSE,FALSE,FALSE,3,0.923324584770291,0.923324584770291,21.4351057297792,3,22.9089999999997,"x4","x4*x4","p3(x4)"
"P1",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5956377838192,2,22.1809999999969,"x4","x4*x4",""
"P1",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.595674281124,2,20.4749999999913,"x4","x4*x4",""
"P1",3,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.981816042796319,0.981816042796319,6.57792883502459,1,21.6169999999984,"x4*x7","",""
"P2",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.6313702995681,2,22.3070000000007,"x4","x4*x4",""
"P2",2,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.998071206031547,0.998071206031547,0.823822458977847,1,19.3269999999902,"troot(x4*x4)","",""
"P2",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.922647855482168,0.922647855482168,45.8636194432973,2,24.8060000000114,"x4","p3(x4)",""
"P3",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.982401709209847,0.982401709209847,2.59649002570533,2,20.8629999999976,"x4*x9","troot(x4)",""
"P3",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5334713368675,2,20.0799999999872,"x4","x4*x4",""
"P3",3,FALSE,FALSE,FALSE,FALSE,FALSE,4,0.936940875978168,0.936940875978168,1.02550218751641,4,19.1970000000001,"x4","x4*x3","x4*x7"
"P4",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.922647855482168,0.922647855482168,45.8709057662053,2,22.6239999999962,"p3(x4)","x4",""
"P4",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5980409056412,2,22.5130000000063,"x4","x4*x4",""
"P4",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5927533743015,2,22.8960000000079,"x4","x4*x4",""
"P5",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5948224860613,2,20.7569999999978,"x4","x4*x4",""
"P5",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.922648663995587,0.922648663995587,45.8719440055273,2,20.8570000000036,"x4","p3(1+x4)",""
"P5",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5952062866474,2,22.3760000000038,"x4","x4*x4",""
"P6",1,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5952575265193,2,21.1910000000062,"x4","x4*x4",""
"P6",2,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,16.5949891545225,2,23.627999999997,"x4","p2(x4)",""
"P6",3,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.959301213035369,0.959301213035369,23.0548616550904,2,32.1390000000101,"x4","x4*x4",""
"Randomforest","","","","","","","","","",8.90051216337844,"","","","",""
"Randomforest","1","NA","NA","NA","NA","NA","NA","NA","NA",0.884031741326327,"NA","NA","NA","NA","NA"
