"Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",12,0.87408869523516,2.92453151892463,5.10210702225158,-1267.81548952065,0.743067770687774,23,5642.04,"(x13*x5)*(troot(x1)*x11)","x7*x13","sigmoid(x13)*((x13*x5)*(troot(x1)*x11))",1,1,1
"S2",12,0.931854030236106,2.41584740276081,3.86599333896241,-1261.85350826427,0.852483139975305,27,5432.786,"troot(troot(x1*x13))","x13","x11*x10",1,1,1
"S3",12,0.866675958281934,2.96616551703752,5.50415283004857,-1216.25334964895,0.700979870593469,36,6196.538,"p3(x6)","sigmoid(p0(((p0(x8)*exp_dbl(x1))*x6)+x13))","x10*p3(p3(x6))",1,1,1
"S4",12,0.85334574134083,3.0912436081662,5.83855870782559,-1282.62113022099,0.663542076911023,17,5016.285,"x11","((x13*(x10*x7))*x5)*p3(x6)","((exp_dbl(x13)*(x10*x7))*x8)*x1",1,1,1
"S5",12,0.841646537512024,3.22369813602916,6.24597916916515,-1284.55669178662,0.614946992563646,21,5258.549,"x7","(x10*x5)*(x13*x6)","troot(x6)*p3(p3(x6)*x6)",1,1,1
"S6",12,0.921426830486899,2.52876818604786,3.91916038114647,-1321.05600065885,0.848397791105823,23,4395.891,"x7","x12","exp_dbl(troot(p0(x13)))*p3(x9)",1,1,1
"S1",13,0.898414928648077,2.71685726161238,4.63176331482266,-1250.46049284919,0.788255482641648,24,5223.23,"x5*p0(x8)","x6*(((x6*x10)*x6)*x6)","x7*p0(x9)",1,1,1
"S2",13,0.878631696297612,2.92228014062797,5.13052465856142,-1245.14983411493,0.740197685741489,26,5262.984,"troot(x10)","((((x7*x11)*x6)*sigmoid(exp_dbl(x6)))*x11)*x5","x12*x13",1,1,1
"S3",13,0.236561425308924,4.71176445386178,14.8548199941383,-1321.484886845,-1.17798178769338,26,5390.353,"p3(x9)","sigmoid(x13)*p3(x9)","p3(p0(1+((x12*x13)*p3(x1)))*x11)*x6",1,1,1
"S4",13,0.900198693203484,2.80603795214937,4.45445072736396,-1300.31628516512,0.804157125211063,18,4567.994,"x6","(x10*x7)*(x10*(x13*x12))","x8",1,1,1
"S5",13,0.847272279239757,2.92796828543334,5.53887823188748,-1330.58830557089,0.697194965181317,18,4708.292,"(x11*(x12*x7))*x13","x9*x10","x10*exp_dbl(x3)",1,1,1
"S6",13,0.799768528903839,3.63578701750565,8.18852528001709,-1306.39477945478,0.338193779233071,15,4476.197,"x1","p3(x6)","x6",1,1,1
"S1",14,0.907646324760104,2.64996735445166,4.24647319667685,-1248.72955585415,0.822017939127118,25,5859.103,"p0(x10*x5)","troot(x5*(x10*x13))","x13*p0(x9)",1,1,1
"S2",14,0.892927676012049,2.63321467828795,4.53369855331845,-1308.56808135422,0.797126772881221,28,5018.137,"x9*(x6*x6)","p3(x13)","exp_dbl(x13)",1,1,1
"S3",14,0.861312994476745,2.85905596866749,5.17668984709392,-1280.91436612545,0.735501174300612,28,5518.07,"x11*p3(p3(x6))","p3(x6)","x5*((x9*exp_dbl(x13))*(x9*x7))",1,1,1
"S4",14,0.885518387590092,2.84714385064693,4.7572424510861,-1278.95666098996,0.776627333773943,24,5090.089,"x8","x13","x1*x7",1,1,1
"S5",14,0.896972502806182,2.88194484682098,4.7299044364131,-1408.72519931821,0.77918722819453,21,4256.791,"x1","x5*x9","(x6*x6)*sigmoid(p0(x10))",1,1,1
"S6",14,0.907978204310028,2.59684192184493,4.24315743908215,-1365.99697548062,0.82229577673129,19,4723.797,"exp_dbl(p0(x13))","x5*x12","x5*(x12*x7)",1,1,1
"S1",15,0.914287321291028,2.60055030374108,4.09276765542661,-1266.96703100449,0.834669249156894,29,5524.617,"(x10*p3(x6))*x6","x8*x10","troot(p0(x10)*x6)",1,1,1
"S2",15,0.859579885777778,2.963779525859,6.14110751559398,-1305.79469867376,0.627768726169786,21,4999.461,"p3(x8)","troot(x6)","p3(x6)",1,1,1
"S3",15,0.888727654849185,2.75692903907905,4.71051021010404,-1292.16723403489,0.780994331523094,19,4606.38,"p3(x10)","x1*p3(x5)","x11",1,1,1
"S4",15,0.858827565568837,2.98286173665269,5.6419133811055,-1325.42387169176,0.685824521423216,14,5054.167,"p0(troot(p0(x6)))*(x3*x12)","troot(1+x6)*(((x1*exp_dbl(x13))*troot(x1))*sigmoid(x6))","x5",1,1,1
"S5",15,0.856095731874709,3.09040033817407,5.6855874297927,-1317.14155680263,0.680941630615039,26,4681.753,"p3(x6)","p3(sigmoid(sigmoid(x13)))*((x1*x10)*sigmoid(x13))","x6",1,1,1
"S6",15,0.866565160673983,3.04535705464139,5.59830208454684,-1309.89513729559,0.690662824744943,20,4558.949,"x7","troot(p3(p3(x6)))","x11",1,1,1
"S1",16,0.828169487093496,3.05381427387889,6.21605342734714,-1215.96517431173,0.618627886168375,35,6626.194,"(x6*x10)*x6","troot(x13*x1)","troot(x1)",1,1,1
"S2",16,0.910787144514754,2.69915543399159,4.19978538704051,-1258.53639032386,0.825910069054821,19,4803.514,"x9*x3","x11","exp_dbl(p3(x5))*x7",1,1,1
"S3",16,0.934426770558809,2.39927660794587,3.59388299606247,-1285.09172458672,0.872518453110413,30,6239.897,"p0(x11)","x6","x12*x7",1,1,1
"S4",16,0.85961000238831,3.10316840346133,5.93498192819639,-1304.44064372908,0.652337171982702,22,4976.376,"exp_dbl(x13)","x7*x10","x12",1,1,1
"S5",16,0.88936062556559,2.91494025531776,4.64816119650789,-1279.77369459709,0.786753545874926,26,4638.188,"x10","x6*p3(x6*p3(x6))","p0(x1)*troot(x10)",1,1,1
"S6",16,0.92679995512742,2.64175479627281,3.97572240810703,-1271.54583126325,0.843990313565013,18,4743.093,"exp_dbl(x13*p0(x8))","x5*(sigmoid(sigmoid(x6))*(p3(p3(x6))*x11))","x9",1,1,1
"S1",17,0.877571745548411,3.03591464538161,5.24140609318568,-1212.29445061779,0.728846586996271,35,6265.011,"x11*x10","x7*sigmoid(x13)","p3(x11*p3(x6))*x7",1,1,1
"S2",17,0.892320423077631,2.80193611279629,4.6954638313635,-1291.86206974013,0.782391199052372,23,4885.582,"(x11*x7)*(x12*x6)","p3(1+x6)","x12*x6",1,1,1
"S3",17,0.917392162136135,2.61775938121562,4.03031327549404,-1291.71429401274,0.839676543691819,24,5120.257,"x6*exp_dbl(troot(x13*x8))","(x10*p0(x13))*x10","((x11*((p3(x11)*(x11*p0(x9)))*x6))*x11)*x7",1,1,1
"S4",17,0.925732084595897,2.58735800803907,3.83157593395727,-1289.71791594066,0.855098016493861,20,5218.427,"x9","x11*(troot(x10)*troot(x10))","x13",1,1,1
"S5",17,0.854747744649831,3.01529044337976,5.58881329001411,-1295.01904832769,0.691710552904526,20,4428.106,"troot(x12)*((p3(x11)*x7)*x6)","p0(x13)*(x10*troot(x1*x7))","x3*(x6*(((x1*x7)*(exp_dbl(x13)*p0(x7)))*x13))",1,1,1
"S6",17,0.847908787289478,3.23151266184159,6.53487458358771,-1246.35156686876,0.578503501704929,24,4567.444,"x3","exp_dbl(x1)","p0(p3(x10))*p3(1+(x6*x6))",1,1,1
"S1",18,0.515272067745112,4.0273419440868,10.2335429872173,-1211.84116305917,-0.0336452023745506,20,5589.079,"((x7*x11)*p0(x6))*(x12*x6)","(x7*((x12*x13)*x10))*x6","x12",1,1,1
"S2",18,0.847581578085081,3.17101227737254,6.05152282792047,-1247.1916331351,0.638549517691375,25,5421.247,"x1*exp_dbl(x13)","p3(x6*p0(x6*x10))","p3(x11)",1,1,1
"S3",18,0.822486107433154,3.50798860134059,7.70295677051587,-1321.45996382527,0.414355083409019,27,6233.08,"x6*x4","x6*(x6*x13)","(troot(x1*exp_dbl(troot(x6)*(troot(x6)*x13)))*x6)*troot(x3)",1,1,1
"S4",18,0.84152222525072,3.30270602965218,6.58949557389912,-1324.83920576743,0.571427995806557,21,5118.692,"sigmoid(x13)*x1","x5*(x1*x12)","x3*(x5*(x1*x12))",1,1,1
"S5",18,0.661704928323079,5.21185934597506,17.7914299841789,-1239.01430300132,-2.12421683661639,20,5195.247,"((x7*x11)*x6)*x12","x8","p3(p3(x6))*x10",1,1,1
"S6",18,0.841701419794991,3.43988176880932,6.73811261798845,-1334.06825683735,0.551878287009821,29,4817.16800000001,"x13*x6","x6","troot(x1)*sigmoid(x9)",1,1,1
"S1",19,0.770016677628477,3.84276368493989,10.0856846281929,-1308.80523864884,-0.00399193632740014,29,5774.901,"sigmoid(troot(x13))*troot(x6)","troot((x13*x1)*(x13*x1))","sigmoid(1+(x5+(x13*x8)))",1,1,1
"S2",19,0.211245101592951,4.55570878098473,15.9189710478117,-1274.14118978302,-1.50120588908299,33,5455.927,"x1","x7*x12","x6*x10",1,1,1
"S3",19,0.83951143329415,3.19550122466929,6.85003152329518,-1254.5325533104,0.536868205328735,22,5228.671,"troot(x6)*x7","x7*exp_dbl(x9)","x8",1,1,1
"S4",19,0.895975216909226,2.89046770927508,4.80150440024657,-1320.68200618866,0.772451425486974,21,5082.461,"(x6*x6)*x6","((x5*x1)*(x5*x1))*x13","x11",1,1,1
